Apellido,Nombre,Distrito,Designación.Legal,Cese.Legal,Partido.o.alianza.con.la.que.ingresó,Bloque,A.favor.o.en.contra,Fuente...Enlace,Email,Telefono,Twitter,Facebook,Instagram,Following,Followers
Di tullio,Juliana,BUENOS AIRES,2023-12-10,2029-12-09,ALIANZA UNIÓN POR LA PATRIA,UNIDAD CIUDADANA,EN CONTRA,,juliana.ditullio@senado.gob.ar,1084 / 1098,ditulliojuli,ditullioj,julianaditullio,1954,194100
Kroneberger,Daniel ricardo,LA PAMPA,2021-12-10,2027-12-09,JUNTOS POR EL CAMBIO,UNIÓN CÍVICA RADICAL,SIN DATOS,,daniel.kroneberger@senado.gob.ar,2200 / 2403,Dkroneberger,kronebergerdaniel,kroneberger_daniel,794,3765
Kueider,Edgardo darío,ENTRE RÍOS,2019-12-10,2025-12-09,FRENTE TODOS,UNIDAD FEDERAL,EN CONTRA,,kueider@senado.gob.ar,1303/1302/1300,EdgardoKueider,EdgardoKueider,edgardokueider,966,5346
Terenzi,Edith elizabeth,CHUBUT,2021-12-10,2027-12-09,JUNTOS POR EL CAMBIO CHUBUT,CAMBIO FEDERAL,SIN DATOS,,edith.terenzi@senado.gob.ar,3538,EdithTerenzi,edith.terenzi.chubut,edith.terenzi,668,2927
Leavy,Sergio napoleón,SALTA,2019-12-10,2025-12-09,FRENTE DE TODOS,UNIDAD CIUDADANA,EN CONTRA,,sergio.leavy@senado.gob.ar,3568 / 3569 / 3570,ElOsoLeavy,ElOsoLeavy,osoleavy,702,3336
Espínola,Carlos mauricio,CORRIENTES,2021-12-10,2027-12-09,FRENTE TODOS,UNIDAD FEDERAL,EN CONTRA,,carlos.espinola@senado.gob.ar,1222 / 1225 / 3183 / 3190,espinolacamau,CamauEspinola,camauespinola,2073,10300
Duré,María eugenia,TIERRA DEL FUEGO,2019-12-10,2025-12-09,FRENTE DE TODOS,UNIDAD CIUDADANA,EN CONTRA,,maria.dure@senado.gob.ar,3302,EugeniaDureTDF,EugeniaDureTDF,eugeniadure,2167,5639
Fama,Flavio sergio,CATAMARCA,2021-12-10,2027-12-09,JUNTOS POR EL CAMBIO,UNIÓN CÍVICA RADICAL,SIN DATOS,,flavio.fama@senado.gob.ar,1396,famaflavio,flaviofamaoficial,flaviofamaoficial,257,1138
Salino,Fernando aldo,SAN LUIS,2023-12-10,2029-12-09,ALIANZA UNIÓN POR LA PATRIA,UNIDAD CIUDADANA,EN CONTRA,,fernando.salino@senado.gob.ar,,fernandosalino,,,69,1186
López,María florencia,LA RIOJA,2023-12-10,2029-12-09,ALIANZA UNIÓN POR LA PATRIA,FRENTE NACIONAL Y POPULAR,EN CONTRA,por ser de uxp,maria.lopez@senado.gob.ar,,Florelop,FlorenciaLopezArauco,florelop,711,13200
Valenzuela,Mercedes gabriela,CORRIENTES,2021-12-10,2027-12-09,ECO + VAMOS CORRIENTES,UNIÓN CÍVICA RADICAL,SIN DATOS,,mercedes.valenzuela@senado.gob.ar,3400 / 02,GabiValenzuel,https://www.facebook.com/gabivalenzuela.ok/,gabivalenzuela.ok,555,812
García larraburu,Silvina marcela,RÍO NEGRO,2019-12-10,2025-12-09,FRENTE DE TODOS,UNIDAD CIUDADANA,EN CONTRA,,silvina.garcialarraburu@senado.gob.ar,3588 / 3590,garcialarraburu,Silvina-García-Larraburu-147895613528/,garcialarraburu/,1784,532
Montenegro,Gerardo antenor,SANTIAGO DEL ESTERO,2019-12-10,2025-12-09,FRENTE DE TODOS,FRENTE NACIONAL Y POPULAR,EN CONTRA,por ser de uxp,gerardo.montenegro@senado.gob.ar,3512 / 3521,GerardoSenador,GerardoMontenegroOficial,gerardomonteneg,13,521
Lousteau,Martín,CIUDAD AUTÓNOMA DE BUENOS AIRES,2019-12-10,2025-12-09,JUNTOS POR EL CAMBIO,UNIÓN CÍVICA RADICAL,SIN DATOS,,martin.lousteau@senado.gob.ar,3236-3255-1086,GugaLusto,GugaLusto,gugalusto,798,1100000
Huala,María victoria,LA PAMPA,2021-12-10,2027-12-09,JUNTOS POR EL CAMBIO,FRENTE PRO,SIN DATOS,,victoria.huala@senado.gob.ar,8340 / 3471,HualaVictoria,victoriahualaok,victoriahuala.ok,80,647
Rejal,Jesús fernando,LA RIOJA,2023-12-10,2029-12-09,ALIANZA UNIÓN POR LA PATRIA,FRENTE NACIONAL Y POPULAR,EN CONTRA,por ser de uxp,jesus.rejal@senado.gob.ar,,jfrejal,frejal,fernandorejal,1801,6934
Carambia,José maría,SANTA CRUZ,2023-12-10,2029-12-09,ALIANZA POR SANTA CRUZ,POR SANTA CRUZ,SIN DATOS,,jose.carambia@senado.gob.ar,,josemacarambia,JMCarambia,josemacarambia,135,653
Neder,José emilio,SANTIAGO DEL ESTERO,2019-12-10,2025-12-09,FRENTE CÍVICO POR SANTIAGO,FRENTE NACIONAL Y POPULAR,EN CONTRA,por ser de uxp,jose.neder@senado.gob.ar,1090 /1092 / 1093,josenedersde,nederjoseemilio,josenedersde,47,1356
Manzur,Juan luis,TUCUMÁN,2023-12-09,2027-12-09,ALIANZA FRENTE DE TODOS,FRENTE NACIONAL Y POPULAR,EN CONTRA,por ser de uxp,juan.manzur@senado.gob.ar,,JuanManzurOK,JuanManzurOficial,juanmanzurok,317,65800
Linares,Carlos alberto,CHUBUT,2021-12-10,2027-12-09,FRENTE DE TODOS,UNIDAD CIUDADANA,EN CONTRA,,carlos.linares@senado.gob.ar,1373 / 1371 / 1368,LinaresCarlosCR,LinaresCarlosCR,carloslinarescr/,265,4018
Juez,Luis alfredo,CÓRDOBA,2021-12-10,2027-12-09,JUNTOS POR EL CAMBIO,FRENTE PRO,SIN DATOS,,luis.juez@senado.gob.ar,1374 /1375 / 1377 / 1378,ljuez,LuisAlfredoJuez,luisalfredojuez,996,141800
Corpacci,Lucia benigna,CATAMARCA,2021-12-10,2027-12-09,FRENTE DE TODOS,FRENTE NACIONAL Y POPULAR,EN CONTRA,por ser de uxp,lucia.corpacci@senado.gob.ar,1435/1403/8858,LuciaCorpacci,corpaccilucia,corpaccilucia,90,11500
Crexell,Carmen lucila,NEUQUÉN,2019-12-10,2025-12-09,JUNTOS POR EL CAMBIO,CAMBIO FEDERAL,SIN DATOS,,lucila.crexell@senado.gob.ar,3550/1411,LucilaCrexell,,,181,3075
Tagliaferri,Guadalupe,CIUDAD AUTÓNOMA DE BUENOS AIRES,2019-12-10,2025-12-09,JUNTOS POR EL CAMBIO,FRENTE PRO,SIN DATOS,,guadalupe.tagliaferri@senado.gob.ar,3456,lupetagliaferri,lupetagliaferri,lupetagliaferri,745,10300
Lewandowski,Marcelo nestor,SANTA FE,2021-12-10,2027-12-09,FRENTE DE TODOS,FRENTE NACIONAL Y POPULAR,EN CONTRA,por ser de uxp,marcelo.lewandowski@senado.gob.ar,1215,marcelewan,LewanRosario,marcelewan,1293,73600
Juri,Mariana,MENDOZA,2021-12-10,2027-12-09,FRENTE CAMBIA MENDOZA,UNIÓN CÍVICA RADICAL,SIN DATOS,,mariana.juri@senado.gob.ar,1450 / 1453,mariana_juri,MarianaJuriMendoza,,495,5385
Recalde,Mariano,CIUDAD AUTÓNOMA DE BUENOS AIRES,2019-12-10,2025-12-09,FRENTE DE TODOS,FRENTE NACIONAL Y POPULAR,EN CONTRA,por ser de uxp,mariano.recalde@senado.gob.ar,3429,marianorecalde,marianorecaldepaginaoficial,marianorecaldeok,819,255600
Doñate,Claudio martín,RÍO NEGRO,2019-12-10,2025-12-09,FRENTE DE TODOS,UNIDAD CIUDADANA,EN CONTRA,,martin.donate@senado.gob.ar,1060,martindonate,martindonatemegusta,martindonate,1703,11800
Goerling lara,Enrique martin,MISIONES,2023-12-10,2029-12-09,JUNTOS POR EL CAMBIO,FRENTE PRO,SIN DATOS,,martin.goerling@senado.gob.ar,3126 / 3135,MartinGoerling,MartinGoerling,martin.goerling,383,1752
Abad,Maximiliano,BUENOS AIRES,2023-12-10,2029-10-09,JUNTOS POR EL CAMBIO,UNIÓN CÍVICA RADICAL,SIN DATOS,,maximiliano.abad@senado.gob.ar,,MaxiAbad,maxiabad,maxi.abad,909,23500
Mendoza,Sandra mariela,TUCUMÁN,2021-12-10,2027-12-09,FRENTE DE TODOS,FRENTE NACIONAL Y POPULAR,EN CONTRA,por ser de uxp,sandra.mendoza@senado.gob.ar,1477 / 79 / 74,mendozsandra,MendozaSand,mendosandrita,0,9971
Silva,Mónica esther,RÍO NEGRO,2023-12-07,2025-12-09,JUNTOS SOMOS RIO NEGRO,SIN ESPECIFICAR,SIN DATOS,,monica.silva@senado.gob.ar,,monicasilvarn,Mónica-Silva-JSRN-100063743905356,monicasilvarn,210,1682
Gadano,Natalia elena,SANTA CRUZ,2023-12-10,2029-12-09,ALIANZA POR SANTA CRUZ,POR SANTA CRUZ,SIN DATOS,,natalia.gadano@senado.gob.ar,,NataliaGadano,Natalia.Gadano,nataliagadano,16,16
Andrada,Guillermo eduardo,CATAMARCA,2021-12-10,2027-12-09,FRENTE DE TODOS,FRENTE NACIONAL Y POPULAR,EN CONTRA,por ser de uxp,guillermo.andrada@senado.gob.ar,3567,negrojoao,Guillermo.Joao.Andrada,guillermoandrada,2924,2351
Giménez,Nora del valle,SALTA,2019-12-10,2025-12-09,FRENTE DE TODOS,UNIDAD CIUDADANA,EN CONTRA,,nora.gimenez@senado.gob.ar,3535 / 1352,noragimenezok,noragimenezok,noragiok,932,1685
Parrilli,Oscar isidro,NEUQUÉN,2019-12-10,2025-12-09,FRENTE DE TODOS,UNIDAD CIUDADANA,EN CONTRA,,oscar.parrilli@senado.gob.ar,1315 / 1317 / 5817,OscarParrilli,oscarparrillineuquen/,/oscar_parrilli,492,18500
Bensusán,Daniel pablo,LA PAMPA,2021-12-10,2027-12-09,FRENTE DE TODOS,FRENTE NACIONAL Y POPULAR,EN CONTRA,por ser de uxp,daniel.bensusan@senado.gob.ar,1305/1307/1310,palibensusan,dpbensusan,palibensusan,179,2040
Paoltroni,Francisco manuel,FORMOSA,2023-12-10,2029-12-09,ALIANZA LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,A FAVOR,por ser de LLA,francisco.paoltroni@senado.gob.ar,,PaoltroniF,PaoltroniF,paoltronif,501,8763
Vischi,Eduardo alejandro,CORRIENTES,2021-12-10,2027-12-09,ECO + VAMOS CORRIENTES,UNIÓN CÍVICA RADICAL,SIN DATOS,,eduardo.vischi@senado.gob.ar,3185 / 3188 / 3189,PeteCoVischi,PetecoVischi/,petecovischi,1507,5770
Pilatti vergara,María inés,CHACO,2019-12-10,2025-12-09,FRENTE DE TODOS,FRENTE NACIONAL Y POPULAR,EN CONTRA,por ser de uxp,pilatti@senado.gob.ar,1201 / 1203,pilattivergara,pilattivergara,,390,8518
Suárez,Rodolfo alejandro,MENDOZA,2023-12-09,2027-12-09,FRENTE CAMBIA MENDOZA,UNIÓN CÍVICA RADICAL,SIN DATOS,,rodolfo.suarez@senado.gob.ar,,rodysuarez,RodolfoSuarezMendoza,rody.suarez,829,83400
Romero,Juan carlos,SALTA,2019-12-10,2025-12-09,JUNTOS POR EL CAMBIO,CAMBIO FEDERAL,SIN DATOS,,juan.romero@senado.gob.ar,1218 / 1219,romeroxsalta,romeroxsalta,,768,11200
Olalla,Stella maris,ENTRE RÍOS,2019-12-10,2025-12-09,JUNTOS POR EL CAMBIO,UNIÓN CÍVICA RADICAL,SIN DATOS,,stella.olalla@senado.gob.ar,1330,Senadora_Olalla,senadorastellaolalla,senadorastellaolalla,53,1539
Uñac,Sergio mauricio,SAN JUAN,2023-12-10,2029-12-09,ALIANZA UNIÓN POR LA PATRIA,FRENTE NACIONAL Y POPULAR,EN CONTRA,por ser de uxp,sergio.unac@senado.gob.ar,,sergiounac,sergio.unac,sergiounac,323,42800
Sapag,Silvia,NEUQUÉN,2019-12-10,2025-12-09,FRENTE DE TODOS,UNIDAD CIUDADANA,EN CONTRA,,silvia.sapag@senado.gob.ar,3556/3557,silviasapag,SilviaSapagOfficial,silviasapag,1506,1299
Zimmermann,Victor,CHACO,2019-12-10,2025-12-09,JUNTOS POR EL CAMBIO,UNIÓN CÍVICA RADICAL,SIN DATOS,,victor.zimmermann@senado.gob.ar,3522/3553,VZimmermannOK,VictorZimmermannOK,victor_zimmermann,297,2540
De pedro,Eduardo enrique,BUENOS AIRES,2023-12-10,2029-12-09,ALIANZA UNIÓN POR LA PATRIA,UNIDAD CIUDADANA,EN CONTRA,,eduardo.depedro@senado.gob.ar,,wadodecorrido,wadodecorrido,wadodecorrido,1629,480200
González,María teresa margarita,FORMOSA,2023-12-10,2029-12-09,ALIANZA UNIÓN POR LA PATRIA,FRENTE NACIONAL Y POPULAR,EN CONTRA,por ser de uxp,maria.gonzalez@senado.gob.ar,1325 /1327,,,,,
Mayans,José miguel ángel,FORMOSA,2023-12-10,2029-12-09,ALIANZA UNIÓN POR LA PATRIA,FRENTE NACIONAL Y POPULAR,EN CONTRA,por ser de uxp,mayans@senado.gob.ar,1023 / 1036 / 1039,,,,,
Arrascaeta,Ivanna marcela,SAN LUIS,2023-12-10,2029-12-09,ALIANZA LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,A FAVOR,por ser de LLA,ivanna.arrascaeta@senado.gob.ar,,,,,,
Pagotto,Juan carlos,LA RIOJA,2023-12-10,2029-12-09,ALIANZA LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,A FAVOR,por ser de LLA,juan.pagotto@senado.gob.ar,,,,,,
Atauche,Ezequiel,JUJUY,2023-12-10,2029-12-09,PARTIDO RENOVADOR FEDERAL,LA LIBERTAD AVANZA,A FAVOR,por ser de LLA,ezequiel.atauche@senado.gob.ar,,,EzeAtauche,ezeatauche,,
Bedia,Vilma facunda,JUJUY,2023-12-10,2029-12-09,PARTIDO RENOVADOR FEDERAL,LA LIBERTAD AVANZA,A FAVOR,por ser de LLA,vilma.bedia@senado.gob.ar,,,,,,
López,Cándida cristina,TIERRA DEL FUEGO,2023-12-07,2025-12-09,ALIANZA FRENTE DE TODOS,UNIDAD CIUDADANA,EN CONTRA,,candida.lopez@senado.gob.ar,,,,,,
Giménez navarro,María celeste,SAN JUAN,2023-12-10,2029-12-09,ALIANZA UNIÓN POR LA PATRIA,UNIDAD CIUDADANA,EN CONTRA,,mariac.gimenez@senado.gob.ar,8709 / 1340 / 1342 / 1332,,,celestegimeneznavarro,,
Galaretto,Eduardo horacio,SANTA FE,2023-12-10,2027-12-09,JUNTOS POR EL CAMBIO,UNIÓN CÍVICA RADICAL,SIN DATOS,,eduardo.galaretto@senado.gob.ar,,,,,,
